x,Potential(V)
0.00100,3.56494
0.00100,3.56160
0.00100,3.55826
0.00100,3.55491
0.00100,3.55157
0.00100,3.54822
0.00100,3.54488
0.00100,3.54153
0.00100,3.53819
0.00100,3.53484
0.00100,3.53150
0.00100,3.52816
0.00100,3.52481
0.00100,3.52147
0.00100,3.51812
0.00100,3.51478
0.00100,3.51143
0.00100,3.50809
0.00100,3.50474
0.00100,3.50140
0.00100,3.49806
0.00100,3.49471
0.00100,3.49137
0.00100,3.48802
0.00100,3.48468
0.00100,3.48133
0.00100,3.47799
0.00100,3.47464
0.00100,3.47130
0.00100,3.46796
0.00100,3.46461
0.00100,3.46127
0.00100,3.45792
0.00100,3.45458
0.00100,3.45123
0.00100,3.44789
0.00100,3.44454
0.00100,3.44120
0.00100,3.43786
0.00100,3.43451
0.00100,3.43117
0.00100,3.42782
0.00100,3.42448
0.00100,3.42113
0.00100,3.41779
0.00100,3.41444
0.00100,3.41110
0.00100,3.40776
0.00100,3.40441
0.00100,3.40107
0.00100,3.39772
0.00100,3.39438
0.00100,3.39103
0.00100,3.38769
0.00100,3.38434
0.00100,3.38100
0.00100,3.37766
0.00100,3.37431
0.00100,3.37097
0.00100,3.36762
0.00100,3.36428
0.00100,3.36093
0.00100,3.35759
0.00100,3.35424
0.00100,3.35090
0.00100,3.34756
0.00100,3.34421
0.00100,3.34087
0.00100,3.33752
0.00100,3.33418
0.00100,3.33083
0.00100,3.32749
0.00100,3.32414
0.00100,3.32080
0.00100,3.31746
0.00100,3.31411
0.00100,3.31077
0.00100,3.30742
0.00100,3.30408
0.00100,3.30073
0.00100,3.29739
0.00100,3.29404
0.00100,3.29070
0.00100,3.28736
0.00100,3.28401
0.00100,3.28067
0.00100,3.27732
0.00100,3.27398
0.00100,3.27063
0.00100,3.26729
0.00100,3.26394
0.00100,3.26060
0.00100,3.25726
0.00100,3.25391
0.00100,3.25057
0.00100,3.24722
0.00100,3.24388
0.00100,3.24053
0.00100,3.23719
0.00100,3.23385
0.00100,3.23050
0.00100,3.22716
0.00100,3.22381
0.00100,3.22047
0.00100,3.21712
0.00100,3.21378
0.00100,3.21043
0.00100,3.20709
0.00100,3.20375
0.00100,3.20040
0.00100,3.19706
0.00100,3.19371
0.00100,3.19037
0.00100,3.18702
0.00100,3.18368
0.00100,3.18033
0.00100,3.17699
0.00100,3.17365
0.00100,3.17030
0.00100,3.16696
0.00100,3.16361
0.00100,3.16027
0.00100,3.15692
0.00100,3.15358
0.00100,3.15023
0.00100,3.14689
0.00100,3.14355
0.00100,3.14020
0.00100,3.13727
0.00159,3.89186
0.00150,3.88768
0.00150,3.88434
0.00150,3.88099
0.00150,3.87765
0.00150,3.87430
0.00150,3.87096
0.00201,3.90357
0.00201,3.90022
0.00201,3.89688
0.00201,3.86678
0.00201,3.86343
0.00201,3.86051
0.00175,3.85675
0.00175,3.85340
0.00259,3.90691
0.00259,3.89353
0.00251,3.88935
0.00251,3.88601
0.00251,3.88267
0.00251,3.87974
0.00226,3.87681
0.00226,3.87347
0.00226,3.87012
0.00301,3.90190
0.00301,3.89855
0.00351,3.91193
0.00351,3.90858
0.00351,3.90524
0.00351,3.89521
0.00326,3.89186
0.00409,3.91527
0.00409,3.90190
0.00401,3.89813
0.00460,3.91026
0.00451,3.90608
0.00510,3.91862
0.00501,3.91444
0.00560,3.91026
0.00526,3.90691
0.00602,3.92196
0.00602,3.91862
0.00602,3.91527
0.00627,3.91277
0.00710,3.92363
0.00702,3.91945
0.00677,3.91695
0.00810,3.92698
0.00802,3.92280
0.00802,3.91987
0.00911,3.92865
0.00902,3.92447
0.00902,3.92154
0.00877,3.91945
0.01003,3.93032
0.01003,3.92698
0.01003,3.92363
0.00978,3.92113
0.01103,3.93032
0.01103,3.92698
0.01103,3.92405
0.01203,3.93032
0.01203,3.92698
0.01203,3.92447
0.01303,3.93032
0.01303,3.92698
0.01303,3.92447
0.01404,3.93032
0.01404,3.92698
0.01404,3.92447
0.01504,3.93032
0.01504,3.92698
0.01504,3.92447
0.01613,3.93032
0.01604,3.92614
0.01579,3.92447
0.01713,3.93200
0.01704,3.92782
0.01704,3.92489
0.01805,3.93283
0.01805,3.92949
0.01805,3.92614
0.01780,3.92447
0.01905,3.93200
0.01905,3.92865
0.01905,3.92531
0.02005,3.93032
0.02005,3.92698
0.02005,3.92447
0.02106,3.93032
0.02106,3.92698
0.02106,3.92447
0.02206,3.93032
0.02206,3.92698
0.02206,3.92447
0.02306,3.93032
0.02306,3.92698
0.02306,3.92447
0.02406,3.93032
0.02406,3.92698
0.02406,3.92447
0.02507,3.93032
0.02507,3.92698
0.02507,3.92447
0.02607,3.93032
0.02607,3.92698
0.02607,3.92447
0.02707,3.93032
0.02707,3.92698
0.02707,3.92447
0.02807,3.93032
0.02807,3.92698
0.02807,3.92447
0.02908,3.93032
0.02908,3.92698
0.02908,3.92447
0.03008,3.93032
0.03008,3.92698
0.03008,3.92447
0.03108,3.93032
0.03108,3.92698
0.03108,3.92447
0.03208,3.93032
0.03208,3.92698
0.03208,3.92447
0.03309,3.93032
0.03309,3.92698
0.03309,3.92447
0.03409,3.93032
0.03409,3.92698
0.03409,3.92447
0.03509,3.93032
0.03509,3.92698
0.03509,3.92447
0.03609,3.93032
0.03609,3.92698
0.03609,3.92447
0.03710,3.93032
0.03710,3.92698
0.03710,3.92447
0.03810,3.93032
0.03810,3.92698
0.03810,3.92447
0.03910,3.93032
0.03910,3.92698
0.03910,3.92447
0.04011,3.93032
0.04011,3.92698
0.04011,3.92447
0.04111,3.93032
0.04111,3.92698
0.04111,3.92447
0.04211,3.93032
0.04211,3.92698
0.04211,3.92405
0.04311,3.93032
0.04311,3.92698
0.04311,3.92363
0.04412,3.93032
0.04412,3.92698
0.04412,3.92363
0.04512,3.93032
0.04512,3.92698
0.04512,3.92363
0.04612,3.92865
0.04612,3.92531
0.04612,3.92280
0.04712,3.92782
0.04712,3.92447
0.04687,3.92280
0.04813,3.92698
0.04813,3.92363
0.04913,3.92698
0.04913,3.92363
0.05013,3.92698
0.05013,3.92363
0.05113,3.92698
0.05113,3.92363
0.05214,3.92698
0.05214,3.92363
0.05314,3.92698
0.05314,3.92363
0.05414,3.92698
0.05414,3.92363
0.05514,3.92698
0.05514,3.92363
0.05615,3.92698
0.05615,3.92363
0.05715,3.92698
0.05715,3.92363
0.05715,3.92113
0.05815,3.92698
0.05815,3.92363
0.05815,3.92113
0.05916,3.92698
0.05916,3.92363
0.05916,3.92113
0.06016,3.92698
